No,Kode Perusahaan,Nama Perusahaan,class
1,AD,Sukadana Prima Sekuritas,unknown
2,AF,Harita Kencana Sekuritas,Emitent
3,AG,Kiwoom Sekuritas Indonesia,Zombie 
4,AH,Shinhan Sekuritas Indonesia,Zombie
5,AI,Kay Hian Sekuritas,institutional
6,AK,UBS Sekuritas Indonesia,institutional
7,AO,ERDIKHA ELIT SEKURITAS,retail_mixed
8,AP,Pacific Sekuritas Indonesia,unknown
9,AR,Binaartha Sekuritas,Zombie
10,AT,Phintraco Sekuritas,Zombie
11,AZ,Sucor Sekuritas,retail_mixed
12,BB,Verdhana Sekuritas Indonesia,institutional
13,BF,Inti Fikasa Sekuritas,unknown
14,BK,J.P. Morgan Sekuritas Indonesia,institutional
15,BQ,Korea Investment and Sekuritas Indonesia,retail_pure
16,BR,Trust Sekuritas,unknown
17,BS,Equity Sekuritas Indonesia,unknown
18,CC,MANDIRI SEKURITAS,retail_mixed
19,CD,Mega Capital Sekuritas,Zombie
20,CP,KB Valbury Sekuritas,retail_mixed
21,DD,Makindo Sekuritas,unknown
22,DH,SINARMAS SEKURITAS,retail_mixed
23,DP,DBS Vickers Sekuritas Indonesia,institutional
24,DR,RHB Sekuritas Indonesia,retail_mixed
25,DU,KAF Sekuritas Indonesia,unknown
26,DX,Bahana Sekuritas,institutional
27,EL,Evergreen Sekuritas Indonesia,Zombie
28,EP,MNC Sekuritas,retail_mixed
29,ES,EKOKAPITAL SEKURITAS,Emitent
30,FO,Forte Global Sekuritas,unknown
31,FS,Yuanta Sekuritas Indonesia,Zombie
32,FZ,Waterfront Sekuritas Indonesia,Zombie
33,GA,BNC Sekuritas Indonesia,institutional
34,GI,Webull Sekuritas Indonesia,unknown
35,GR,PANIN SEKURITAS Tbk.,retail_mixed
36,HD,KGI Sekuritas Indonesia,retail_mixed
37,HP,Henan Putihrai Sekuritas,institutional
38,IC,Integrity Capital Sekuritas,Zombie
39,ID,Anugerah Sekuritas Indonesia,unknown
40,IF,SAMUEL SEKURITAS INDONESIA,institutional
41,IH,Indo Harvest Sekuritas,Zombie
42,II,Danatama Makmur Sekuritas,Emitent
43,IN,INVESTINDO NUSANTARA SEKURITA,Zombie
44,IT,INTI TELADAN SEKURITAS,unknown
45,IU,Indo Capital Sekuritas,Emitent
46,KI,Ciptadana Sekuritas Asia,institutional
47,KK,Phillip Sekuritas Indonesia,retail_mixed
48,KZ,CLSA Sekuritas Indonesia,institutional
49,LG,Trimegah Sekuritas Indonesia Tbk.,Market_Maker
50,LS,Reliance Sekuritas Indonesia Tbk.,unknown
51,MG,Semesta Indovest Sekuritas,Market_Maker
52,MI,Victoria Sekuritas Indonesia,unknown
53,MU,Minna Padi Investama Sekuritas,Emitent
54,NI,BNI Sekuritas,retail_mixed
55,OD,BRI Danareksa Sekuritas,institutional
56,OK,NET SEKURITAS,Emitent
57,PC,FAC Sekuritas Indonesia,Zombie
58,PD,Indo Premier Sekuritas,retail_mixed
59,PF,Danasakti Sekuritas Indonesia,unknown
60,PG,Panca Global Sekuritas,Emitent
61,PI,Magenta Kapital Sekuritas Indonesia,unknown
62,PO,Pilarmas Investindo Sekuritas,unknown
63,PP,Aldiracita Sekuritas Indonesia,unknown
64,QA,Tuntun Sekuritas Indonesia,institutional
65,RB,Ina Sekuritas Indonesia,Market_Maker
66,RF,Buana Capital Sekuritas,Market_Maker
67,RG,Profindo Sekuritas Indonesia,unknown
68,RO,Pluang Maju Sekuritas,retail_pure
69,RS,Yulie Sekuritas Indonesia Tbk.,unknown
70,RX,Macquarie Sekuritas Indonesia,institutional
71,SA,Elit Sukses Sekuritas,Market_Maker
72,SF,Surya Fajar Sekuritas,unknown
73,SH,Artha Sekuritas Indonesia,unknown
74,SQ,BCA Sekuritas,retail_mixed
75,SS,Supra Sekuritas Indonesia,Market_Maker
76,TF,Laba Sekuritas Indonesia,unknown
77,TP,OCBC Sekuritas Indonesia,institutional
78,TS,Dwidana Sakti Sekuritas,unknown
79,XA,NH Korindo Sekuritas Indonesia,retail_mixed
80,XC,Ajaib Sekuritas Asia,retail_pure
81,XL,Stockbit Sekuritas Digital,retail_pure
82,YB,Yakin Bertumbuh Sekuritas,retail_pure
83,YJ,Lotus Andalan Sekuritas,retail_mixed
84,YO,Amantara Sekuritas Indonesia,Emitent
85,YP,Mirae Asset Sekuritas Indonesia,retail_mixed
86,YU,CGS International Sekuritas Indonesia,institutional
87,ZP,Maybank Sekuritas Indonesia,institutional
88,ZR,Bumiputera Sekuritas,unknown
