Ticker,Company Name,Free Float %,Category
IBST,INTI BANGUN SEJAHTERA Tbk,0.0,LOW
HITS,HUMPUSS INTERMODA TRANSPORTASI Tbk,0.1,LOW
SUPR,SOLUSI TUNAS PRATAMA Tbk,0.1,LOW
POLU,GOLDEN FLOWER Tbk,0.2,LOW
ROCK,ROCKFIELDS PROPERTI INDONESIA Tbk,0.2,LOW
FASW,FAJAR SURYA WISESA Tbk,0.2,LOW
POLI,POLLUX HOTELS GROUP Tbk,0.3,LOW
DUTI,DUTA PERTIWI Tbk,0.6,LOW
MFMI,MULTIFILING MITRA INDONESIA Tbk,0.7,LOW
SOSS,SHIELD ON SERVICE Tbk,0.7,LOW
META,NUSANTARA INFRASTRUCTURE Tbk,0.7,LOW
FAPA,FAP AGRI Tbk,0.7,LOW
BLTZ,GRAHA LAYAR PRIMA Tbk,0.7,LOW
IFSH,IFISHDECO Tbk,0.8,LOW
SMAR,SINAR MAS AGRO RESOURCES AND TECHNOLOGY Tbk,0.8,LOW
KMTR,KIRANA MEGATARA Tbk,1.0,LOW
SMDM,SURYAMAS DUTAMAKMUR Tbk,1.0,LOW
SCPI,ORGANON PHARMA INDONESIA Tbk,1.2,LOW
PGUN,PRADIKSI GUNATAMA Tbk,1.3,LOW
SMCB,SOLUSI BANGUN INDONESIA Tbk,1.3,LOW
GSMF,EQUITY DEVELOPMENT INVESTMENT Tbk,1.3,LOW
CBUT,CITRA BORNEO UTAMA Tbk,1.4,LOW
BNII,BANK MAYBANK INDONESIA Tbk,1.5,LOW
PRAY,FAMON AWAL BROS SEDAYA Tbk,1.5,LOW
CMNT,CEMINDO GEMILANG Tbk,1.6,LOW
ANJT,AUSTINDO NUSANTARA JAYA Tbk,1.6,LOW
POLL,POLLUX PROPERTIES INDONESIA Tbk,1.7,LOW
ARTA,ARTHAVEST Tbk,1.8,LOW
GEMS,GOLDEN ENERGY MINES Tbk,1.9,LOW
CTBN,CITRA TUBINDO Tbk,2.0,LOW
BMAS,BANK MASPION INDONESIA Tbk,2.1,LOW
SKLT,SEKAR LAUT Tbk,2.1,LOW
MLPT,MULTIPOLAR TECHNOLOGY Tbk,2.2,LOW
BTPN,BANK SMBC INDONESIA Tbk,2.3,LOW
SDRA,BANK WOORI SAUDARA INDONESIA 1906 Tbk,2.5,LOW
JAWA,JAYA AGRA WATTIE Tbk,2.5,LOW
GMTD,GOWA MAKASSAR TOURISM DEVELOPMENT Tbk,2.6,LOW
PSSI,IMC PELITA LOGISTIK Tbk,2.7,LOW
SURE,SUPER ENERGY Tbk,2.9,LOW
TGKA,TIGARAKSA SATRIA Tbk,3.2,LOW
VRNA,MIZUHO LEASING INDONESIA Tbk,3.2,LOW
HDFA,RADANA BHASKARA FINANCE Tbk,3.3,LOW
PLIN,PLAZA INDONESIA REALTY Tbk,3.4,LOW
GOLF,INTRA GOLFLINK RESORTS Tbk,3.5,LOW
